student_id,profile,semester,course_code,course_name,course_level,course_hours,grade,passed
1,متوسط,1,إنجل 3111,لغة انجليزية 1,1,3,76.5,True
1,متوسط,1,ريض 3111,تفاضل وتكامل 1,1,3,60.0,True
1,متوسط,1,تقا 3110,الحوسبة وتقنية المعلومات,1,2,63.8,True
1,متوسط,1,كيم 3111,كيمياء عامة 1,1,4,71.9,True
1,متوسط,1,ريض 3140,جبر وهندسة,1,3,47.2,False
1,متوسط,1,مهج 3111,مهارات جامعية,1,1,60.6,True
1,متوسط,1,فيز 3111,فيزياء عامة 1,2,4,48.7,False
1,متوسط,2,ريض 3140,جبر وهندسة,1,3,71.5,True
1,متوسط,2,إدا 3111,ريادة أعمال,2,1,60.0,True
1,متوسط,2,إنجل 3112,لغة انجليزية 2,2,3,60.0,True
1,متوسط,2,قرا 3009,القرآن الكريم 1,2,1,52.1,False
1,متوسط,2,ريض 3112,تفاضل وتكامل 2,2,3,65.4,True
1,متوسط,2,فيز 3111,فيزياء عامة 1,2,4,76.1,True
1,متوسط,2,احص 3111,إحصاء عام,2,3,62.3,True
1,متوسط,3,قرا 3009,القرآن الكريم 1,2,1,60.0,True
1,متوسط,3,ثقف 3001,قيم إسلامية,3,2,60.0,True
1,متوسط,3,عال 3271,أساسيات البرمجة,3,3,62.1,True
1,متوسط,3,تقا 3281,مناهج البحث والكتابة التقنية,3,3,60.0,True
1,متوسط,3,عال 3231,الرياضيات المتقطعة,3,3,69.2,True
1,متوسط,3,عال 3221,أساسيات الحوسبة,3,3,67.6,True
1,متوسط,4,قرأ 3010,القرآن الكريم 2,3,1,48.3,False
1,متوسط,4,احص 3403,إحصاء متقدم ونظرية الاحتمالات,4,3,66.7,True
1,متوسط,4,ريض 3201,معادلات تفاضلية,4,3,70.6,True
1,متوسط,4,فيز 3654,ميكانيكا الكم,4,3,60.0,True
1,متوسط,4,عال 3211,النظم الرقمية,4,3,82.2,True
1,متوسط,4,عال 3212,معمارية وتنظيم الحاسب,4,3,60.0,True
1,متوسط,5,قرأ 3010,القرآن الكريم 2,3,1,65.7,True
1,متوسط,5,سنه 3020,السنة والسيرة,4,2,53.9,False
1,متوسط,5,ترخ 3008,تاريخ المملكة,5,2,77.9,True
1,متوسط,5,عال 3372,البرمجة الشيئية,5,3,60.0,True
1,متوسط,5,عال 3302,الخوارزميات والتعقيد,5,3,63.9,True
1,متوسط,5,تقا 3320,أساسيات شبكات الحاسب,5,3,71.2,True
1,متوسط,5,عال 3361,نظم التشغيل,5,3,75.5,True
1,متوسط,6,سنه 3020,السنة والسيرة,4,2,77.7,True
1,متوسط,6,قرأ 3011,القرآن الكريم 3,5,1,71.1,True
1,متوسط,6,عال 3381,هندسة البرمجيات,6,3,67.4,True
1,متوسط,6,نما 3210,نظم قواعد البيانات,6,3,62.0,True
1,متوسط,6,عال 3304,المترجمات ونظرية الحوسبة,6,3,66.2,True
1,متوسط,6,عال 3366,لغات ومنهجيات البرمجة,6,3,70.2,True
1,متوسط,6,عال 3301,هياكل البيانات,6,3,60.0,True
1,متوسط,7,عال 3451,الذكاء الاصطناعي,7,3,68.0,True
1,متوسط,7,عال 3414,الحوسبة الكمومية,7,3,69.1,True
1,متوسط,7,عال 3483,التطوير القائم على المنصات,7,3,69.9,True
1,متوسط,7,عال 3474,البرمجة المتقدمة,7,3,81.2,True
1,متوسط,7,قرأ 3012,القرآن الكريم 4,7,1,73.3,True
1,متوسط,7,تقا 3407,تفاعل الإنسان والحاسب,7,3,52.4,False
1,متوسط,8,تقا 3407,تفاعل الإنسان والحاسب,7,3,63.3,True
1,متوسط,8,أدب 3004,المهارات اللغوية,8,2,82.4,True
1,متوسط,8,تقا 3306,أساسيات الأمن السيبراني,8,3,96.6,True
1,متوسط,8,عال 3441,الرسومات والتصور بالحاسب,8,3,60.0,True
1,متوسط,8,عال 3452,تعلم الآلة,8,3,69.7,True
1,متوسط,9,فقه 3010,الفقه,8,2,71.9,True
1,متوسط,9,عال 3413,الحوسبة المتوازية والموزعة,8,3,70.6,True
1,متوسط,9,عال 3591,مشروع تخرج 1,9,4,68.1,True
1,متوسط,9,عال 3453,التدريب الميداني,9,3,65.5,True
1,متوسط,9,نما 3540,الأخلاقيات والابتكار المسؤول,9,2,70.0,True
1,متوسط,9,عال 3553,التعلم العميق,9,3,60.0,True
1,متوسط,9,عقد 3006,العقيدة,10,3,60.0,True
1,متوسط,10,عال 3592,مشروع تخرج 2,10,4,64.0,True
2,جيد,1,تقا 3110,الحوسبة وتقنية المعلومات,1,2,87.9,True
2,جيد,1,إنجل 3111,لغة انجليزية 1,1,3,72.8,True
2,جيد,1,ريض 3140,جبر وهندسة,1,3,65.5,True
2,جيد,1,ريض 3111,تفاضل وتكامل 1,1,3,90.7,True
2,جيد,1,كيم 3111,كيمياء عامة 1,1,4,76.7,True
2,جيد,1,مهج 3111,مهارات جامعية,1,1,80.0,True
2,جيد,1,احص 3111,إحصاء عام,2,3,74.4,True
2,جيد,2,إدا 3111,ريادة أعمال,2,1,75.0,True
2,جيد,2,ريض 3112,تفاضل وتكامل 2,2,3,89.1,True
2,جيد,2,إنجل 3112,لغة انجليزية 2,2,3,79.2,True
2,جيد,2,فيز 3111,فيزياء عامة 1,2,4,76.2,True
2,جيد,2,قرا 3009,القرآن الكريم 1,2,1,61.4,True
2,جيد,2,ثقف 3001,قيم إسلامية,3,2,71.7,True
2,جيد,2,عال 3231,الرياضيات المتقطعة,3,3,80.8,True
2,جيد,3,عال 3221,أساسيات الحوسبة,3,3,80.9,True
2,جيد,3,عال 3271,أساسيات البرمجة,3,3,82.2,True
2,جيد,3,قرأ 3010,القرآن الكريم 2,3,1,54.0,False
2,جيد,3,تقا 3281,مناهج البحث والكتابة التقنية,3,3,60.7,True
2,جيد,3,ريض 3201,معادلات تفاضلية,4,3,81.2,True
2,جيد,3,فيز 3654,ميكانيكا الكم,4,3,60.9,True
2,جيد,3,احص 3403,إحصاء متقدم ونظرية الاحتمالات,4,3,76.9,True
2,جيد,4,قرأ 3010,القرآن الكريم 2,3,1,72.3,True
2,جيد,4,عال 3212,معمارية وتنظيم الحاسب,4,3,69.4,True
2,جيد,4,سنه 3020,السنة والسيرة,4,2,62.1,True
2,جيد,4,عال 3211,النظم الرقمية,4,3,56.7,False
2,جيد,4,عال 3372,البرمجة الشيئية,5,3,60.0,True
2,جيد,4,عال 3302,الخوارزميات والتعقيد,5,3,51.3,False
2,جيد,4,ترخ 3008,تاريخ المملكة,5,2,64.9,True
2,جيد,4,عال 3361,نظم التشغيل,5,3,60.0,True
2,جيد,5,عال 3211,النظم الرقمية,4,3,85.0,True
2,جيد,5,قرأ 3011,القرآن الكريم 3,5,1,88.2,True
2,جيد,5,عال 3302,الخوارزميات والتعقيد,5,3,88.1,True
2,جيد,5,عال 3301,هياكل البيانات,6,3,70.3,True
2,جيد,5,عال 3304,المترجمات ونظرية الحوسبة,6,3,87.0,True
2,جيد,5,عال 3366,لغات ومنهجيات البرمجة,6,3,72.0,True
2,جيد,5,نما 3210,نظم قواعد البيانات,6,3,69.3,True
2,جيد,6,تقا 3320,أساسيات شبكات الحاسب,5,3,87.6,True
2,جيد,6,عال 3381,هندسة البرمجيات,6,3,67.7,True
2,جيد,6,قرأ 3012,القرآن الكريم 4,7,1,64.7,True
2,جيد,6,عال 3474,البرمجة المتقدمة,7,3,74.9,True
2,جيد,6,عال 3414,الحوسبة الكمومية,7,3,76.1,True
2,جيد,6,عال 3451,الذكاء الاصطناعي,7,3,64.0,True
2,جيد,6,عال 3452,تعلم الآلة,8,3,81.9,True
2,جيد,7,تقا 3407,تفاعل الإنسان والحاسب,7,3,76.9,True
2,جيد,7,عال 3483,التطوير القائم على المنصات,7,3,80.1,True
2,جيد,7,أدب 3004,المهارات اللغوية,8,2,64.4,True
2,جيد,7,عال 3441,الرسومات والتصور بالحاسب,8,3,79.5,True
2,جيد,7,تقا 3306,أساسيات الأمن السيبراني,8,3,74.0,True
2,جيد,7,عال 3413,الحوسبة المتوازية والموزعة,8,3,66.0,True
2,جيد,8,فقه 3010,الفقه,8,2,74.0,True
2,جيد,8,عال 3553,التعلم العميق,9,3,81.6,True
2,جيد,8,عال 3453,التدريب الميداني,9,3,69.3,True
2,جيد,8,عال 3591,مشروع تخرج 1,9,4,73.6,True
2,جيد,8,نما 3540,الأخلاقيات والابتكار المسؤول,9,2,89.7,True
2,جيد,8,عقد 3006,العقيدة,10,3,64.2,True
2,جيد,9,عال 3592,مشروع تخرج 2,10,4,80.7,True
3,جيد,1,كيم 3111,كيمياء عامة 1,1,4,73.6,True
3,جيد,1,إنجل 3111,لغة انجليزية 1,1,3,83.6,True
3,جيد,1,تقا 3110,الحوسبة وتقنية المعلومات,1,2,63.3,True
3,جيد,1,مهج 3111,مهارات جامعية,1,1,72.9,True
3,جيد,1,ريض 3111,تفاضل وتكامل 1,1,3,69.6,True
3,جيد,1,ريض 3140,جبر وهندسة,1,3,76.5,True
3,جيد,2,احص 3111,إحصاء عام,2,3,77.7,True
3,جيد,2,إدا 3111,ريادة أعمال,2,1,82.9,True
3,جيد,2,ريض 3112,تفاضل وتكامل 2,2,3,76.2,True
